Alpha,Epoch,Train Accuracy,Test Accuracy
1.0,42,0.8232919254658385,0.8248433991253988
1.0,43,0.725527950310559,0.7295827916321947
1.0,44,0.8073291925465839,0.8081787022810543
1.0,45,0.8197515527950311,0.8191703108379624
1.0,46,0.8188198757763975,0.8250797778040421
1.0,47,0.8166459627329192,0.8211795296064295
1.0,48,0.7683850931677019,0.7715400070913604
1.0,49,0.802360248447205,0.8105424890674862
1.0,50,0.8211801242236025,0.8189339321593192
1.0,51,0.7365217391304347,0.7396288854745302
1.0,52,0.7980745341614907,0.7965961470275381
1.0,53,0.7904347826086957,0.7954142536343222
1.0,54,0.7756521739130435,0.7720127644486467
1.0,55,0.7485714285714286,0.7522751447819407
1.0,56,0.8126708074534161,0.8124335184966316
1.0,57,0.7469565217391304,0.7503841153527951
1.0,58,0.8170807453416149,0.8136154118898475
1.0,59,0.8258385093167702,0.8308710554308001
1.0,60,0.817888198757764,0.8228341803569318
1.0,61,0.8019875776397516,0.8072331875664815
1.0,62,0.8225465838509317,0.8298073513769058
1.0,63,0.8319875776397515,0.8392624985226332
1.0,64,0.8139130434782609,0.8090060276563054
1.0,65,0.8229813664596274,0.827443564590474
1.0,66,0.8122360248447205,0.8152700626403498
1.0,67,0.802360248447205,0.8086514596383406
1.0,68,0.666583850931677,0.6701335539534334
1.0,69,0.8201863354037268,0.8218886656423591
1.0,70,0.7873291925465838,0.7871409998818106
1.0,71,0.7693788819875776,0.7697671670015365
1.0,72,0.8031055900621118,0.8022692353149746
1.0,73,0.7690683229813665,0.7664578655005319
1.0,74,0.8266459627329192,0.8285072686443683
1.0,75,0.8305590062111802,0.8335894102351968
1.0,76,0.7501863354037267,0.746956624512469
1.0,77,0.8086335403726708,0.8120789504786669
1.0,78,0.8290062111801242,0.8335894102351968
1.0,79,0.7457142857142857,0.7464838671551826
1.0,80,0.7811180124223602,0.7819406689516606
1.0,81,0.7381987577639751,0.7365559626521688
1.0,82,0.82472049689441,0.8312256234487649
1.0,83,0.8163354037267081,0.8215340976243943
1.0,84,0.8222360248447205,0.829452783358941
1.0,85,0.8260869565217391,0.8328802741992672
1.0,86,0.735527950310559,0.7363195839735256
1.0,87,0.7954658385093167,0.7993145018319348
1.0,88,0.8190062111801242,0.8165701453728874
1.0,89,0.8094409937888198,0.8138517905684908
1.0,90,0.8240993788819876,0.8205885829098215
1.0,91,0.7366459627329193,0.7371469093487767
1.0,92,0.8290062111801242,0.8285072686443683
1.0,93,0.7987577639751553,0.7996690698498995
1.0,94,0.7909316770186335,0.8020328566363314
1.0,95,0.8173291925465839,0.8215340976243943
1.0,96,0.8201242236024845,0.8233069377142181
1.0,97,0.8268944099378882,0.8260252925186148
1.0,98,0.8008695652173913,0.8045148327620849
1.0,99,0.7648447204968944,0.7697671670015365
1.0,100,0.7557763975155279,0.7538116061931214
